[INV] Invoice ID,[INV] Invoice Line Number,L1_ver,L2_ver,L3_ver,L4_ver,L5_ver
0900-0020073807-2019,4,correct,correct,correct,correct,correct
0900-0020073807-2019,2,correct,correct,correct,correct,correct
0790-3010001246-2019,2,correct,correct,correct,correct,correct
0250-3010025360-2019,9,correct,incorrect,incorrect,incorrect,incorrect
0250-3010017767-2020,5,correct,incorrect,incorrect,incorrect,incorrect
0900-0020025561-2020,2,correct,correct,correct,correct,correct
0110-0020057844-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0900-0020055205-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0900-0020060480-2019,2,correct,correct,correct,correct,correct
0130-0020008761-2020,2,correct,incorrect,incorrect,incorrect,incorrect
0100-3010025226-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
0650-3010016227-2020,4,need more info.,need more info.,need more info.,need more info.,need more info.
0250-3010017763-2020,2,correct,incorrect,incorrect,incorrect,incorrect
0900-0020045251-2019,2,correct,incorrect,incorrect,incorrect,incorrect
0180-0020235267-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
1540-3020000206-2019,2,correct,correct,incorrect,incorrect,incorrect
1540-3020000243-2020,3,correct,correct,incorrect,incorrect,incorrect
0100-3020007588-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
1540-3020000243-2020,4,correct,correct,incorrect,incorrect,incorrect
1540-3020000489-2020,2,correct,correct,incorrect,incorrect,incorrect
0470-3020000279-2020,2,correct,correct,incorrect yet,incorrect,incorrect
1540-3020000490-2020,2,correct,correct,incorrect,incorrect,incorrect
0100-3020023718-2019,2,correct,correct,incorrect,incorrect,incorrect
1540-3020000155-2019,2,correct,correct,incorrect,incorrect,incorrect
0100-3020010333-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
1540-3020000243-2020,5,correct,correct,incorrect,incorrect,incorrect
0100-3020024592-2019,2,correct,correct,incorrect,incorrect,incorrect
0100-3020025688-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
1540-3020000058-2019,2,correct,correct,incorrect,incorrect,incorrect
0100-3020010360-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
1540-3020000243-2020,2,correct,correct,incorrect,incorrect,incorrect
0790-3020000762-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
0090-3020000068-2020,14,correct,correct,correct,correct,correct
7540-3020001326-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0260-0026006772-2019,2,correct,correct,correct,correct,correct
0250-3030001167-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
0110-0020017652-2020,3,correct,correct,correct,correct,correct
0110-0020022134-2020,2,need more info.,need more info.,need more info.,need more info.,need more info.
1260-3010001561-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0250-3030001185-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
0250-3030000727-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0140-0026006215-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0300-0026014570-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0190-0026007471-2020,2,correct,incorrect,incorrect,incorrect,incorrect
0250-3030000729-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
1360-3020006216-2019,3,incorrect,incorrect,incorrect,incorrect,incorrect
0250-3030000852-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0110-0020004495-2020,3,correct,correct,correct,correct,correct
0250-3010041608-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
1360-3010000702-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
1360-3020010695-2019,3,incorrect,incorrect,incorrect,incorrect,incorrect
1260-3010002359-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
0120-0026006713-2020,2,correct,correct,correct,correct,correct
1080-0026002070-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0250-3010005592-2020,2,need more info.,need more info.,need more info.,need more info.,need more info.
0250-3010049063-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
0250-3030000851-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0250-3010018663-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0210-0026000298-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0130-0026002546-2020,2,need more info.,need more info.,need more info.,need more info.,need more info.
0250-3030001183-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
0140-0026018167-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0140-0026006032-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0110-0020004505-2020,3,correct,correct,correct,incorrect,incorrect
1260-3030000105-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
0130-0026009936-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
1260-3030000084-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
1260-3030000103-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
1260-3030000058-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
2040-0020022165-2019,2,correct,correct,correct,correct,not yet
0180-0026138416-2019,7,correct,correct,correct,correct,correct
1080-0026001705-2020,2,correct,correct,correct,need more info.,incorrect
0790-3010000119-2020,2,correct,correct,correct,correct,correct
0310-0026027974-2019,2,correct,correct,correct,correct,correct
0900-0020021889-2020,3,correct,correct,correct,correct,correct
0310-0020055488-2020,41,correct,correct,correct,correct,correct
0100-3020028686-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0310-0020032098-2020,24,correct,correct,correct,correct,correct
0310-0020234014-2019,12,correct,correct,correct,correct,correct
6450-3020002439-2020,74,correct,correct,correct,correct,correct
0310-0020032098-2020,7,correct,correct,correct,correct,not yet
0310-0020247179-2019,15,correct,correct,correct,correct,correct
0310-0020032098-2020,20,correct,correct,correct,correct,correct
0310-0020187691-2019,17,correct,correct,correct,correct,correct
0210-0026034920-2019,3,correct,incorrect,incorrect,incorrect,incorrect
0310-0020077110-2020,76,correct,correct,correct,correct,correct
0310-0020256221-2019,39,correct,correct,correct,correct,correct
0310-0020222702-2019,35,correct,correct,correct,correct,correct
0130-0020015038-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0150-0026001456-2020,2,correct,correct,correct,correct,correct
0310-0020158535-2019,28,correct,correct,correct,correct,correct
7040-0020001000-2020,3,need more info.,need more info.,need more info.,need more info.,need more info.
0310-0020256221-2019,258,correct,correct,correct,correct,correct
0900-0020074930-2019,28,correct,correct,correct,correct,correct
7850-3020007287-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
7540-3020010807-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0900-0022014410-2019,2,incorrect,need more info.,need more info.,need more info.,need more info.
0090-3020002069-2019,17,need more info.,need more info.,need more info.,need more info.,need more info.
2040-0020007863-2020,2,correct,correct,correct,correct,correct
2040-0020037336-2019,2,correct,correct,correct,correct,correct
0900-0020044392-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
2040-0020029406-2019,2,correct,correct,correct,correct,correct
2040-0020033475-2019,2,correct,correct,correct,correct,correct
1160-3020000813-2019,17,correct,correct,correct,correct,correct
0900-0020010400-2020,3,correct,correct,incorrect,incorrect,incorrect
0900-0020063818-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
2040-0020029441-2019,2,correct,correct,correct,correct,correct
0180-0026110246-2019,2,correct,correct,correct,correct,correct
0310-0020055488-2020,27,correct,correct,correct,correct,correct
0310-0020102647-2020,7,correct,correct,correct,correct,correct
0310-0020055488-2020,35,correct,correct,correct,correct,correct
0310-0020102647-2020,31,correct,correct,correct,correct,correct
0310-0020076959-2020,29,correct,correct,correct,correct,correct
0310-0020032098-2020,45,correct,correct,correct,correct,correct
5260-3020021119-2019,3,correct,correct,correct,correct,correct
0310-0020101307-2020,5,correct,correct,correct,correct,not yet
0310-0020234014-2019,35,correct,correct,correct,correct,correct
0310-0020180574-2019,6,correct,correct,correct,correct,correct
0650-3020013259-2020,13,correct,correct,correct,correct,correct
0310-0020105548-2020,31,incorrect,incorrect,incorrect,incorrect,incorrect
0050-3020000190-2019,2,correct,correct,correct,correct,correct
0510-3010013273-2019,3,correct,correct,correct,correct,correct
0310-0020205612-2019,111,correct,correct,correct,correct,correct
0650-3020054660-2019,14,incorrect,incorrect,incorrect,incorrect,incorrect
7850-3010006834-2020,5,correct,correct,correct,correct,correct
0310-0020104985-2020,219,correct,correct,correct,correct,correct
0650-3020023293-2020,14,correct,correct,correct,correct,correct
0050-3010000495-2020,2,correct,incorrect,incorrect,incorrect,incorrect
0750-3020113498-2019,2,correct,incorrect,incorrect,incorrect,incorrect
1160-3010001179-2020,3,need more info.,need more info.,need more info.,need more info.,need more info.
0900-0020049088-2019,5,correct,correct,correct,correct,correct
0900-0020022188-2020,11,correct,correct,correct,correct,correct
0900-0020074930-2019,7,correct,correct,correct,correct,correct
0470-3020001401-2020,3,incorrect,incorrect,incorrect,incorrect,incorrect
1160-3010002654-2020,2,need more info.,need more info.,need more info.,need more info.,need more info.
0250-3020062015-2019,2,correct,correct,correct,correct,correct
0100-3020006513-2020,3,incorrect,incorrect,incorrect,incorrect,incorrect
0900-0020074930-2019,9,correct,correct,correct,correct,correct
0110-0020032574-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
5260-3020018938-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0250-3020040393-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0110-0020061181-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
1260-3030000073-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0900-0022001446-2020,2,need more info.,need more info.,need more info.,need more info.,need more info.
1160-3020000353-2020,2,need more info.,need more info.,need more info.,need more info.,need more info.
1260-3030000060-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0090-3020002192-2019,9,incorrect,incorrect,incorrect,incorrect,incorrect
1360-3020009059-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0300-0020025848-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
0250-3010047452-2019,2,correct,incorrect,incorrect,incorrect,incorrect
0310-0026036059-2019,2,correct,correct,correct,correct,correct
